codigo;Descripción;Marca;Modelo;N° Serie;Estado;Volumen máximo
PP-003;PIPETA SOCOREX ACURA 825;SOCOREX;ACURA 825;22051318;En uso;1000
PP-007;Micropipeta 200 microlitros;MRC;MPP-200;JE228834;En uso;200
PP-008;PIPETA AUTOMATICA FINNPIPETTE;THERMO SCIENTIF;FINNPIPETTE F2;MH79122;En uso;50
PP-009;PIPETA AUTOM THERMO 5 -50 MICROL;THERMO SCIENTIF;FINNPIPETTE F2;OH25974;En uso;50
PP-012;PIPETA AUTOMATICA FINNEPETTE 200;THERMO SCIENTIF;FINNPIPETTE F2;NH01088;En uso;200
PP-016;PIPETAS AUTOMATICA FINNPIPETTE;THERMO SCIENTIF;FINNPIPETTE F3 1-10;RH27832;En uso;10000
PP-017;PIPETA FINNPIPETTE 1-10 mL;THERMO SCIENTIF;FINNPIPETTE F3 1-10;RH27833;En uso;10000
PP-021;PIPETA THERMO 10-100 MICROLITROS;THERMO SCIENTIF;FINNPIPETTE F3;THH556;En uso;1000
PP-024;PIPETA FINNIPIPETTE F3(100-1000);THERMO SCIENTIF;FINNIPIPETTE F3;UH77090;En uso;1000
PP-035;Micropipeta 1000 ul;SOCOREX;ACURA 815;35081047;En uso;1000
